X,Y,Z,Class
-212,-1016,78,1
-232,-1027,66,1
-242,-1021,71,1
-195,-1022,48,1
-215,-1022,68,1
-222,-1037,63,1
-202,-1032,63,1
-210,-1040,68,1
-192,-1066,101,1
-200,-1050,105,1
-242,-1052,63,1
-230,-1050,61,1
-250,-1066,51,1
-245,-1052,78,1
-245,-1065,78,1
-225,-1055,101,1
-250,-1065,96,1
-235,-1073,101,1
-232,-1057,88,1
-242,-1040,86,1
-245,-1057,110,1
-235,-1045,115,1
-245,-1052,120,1
-240,-1040,83,1
-247,-1047,76,1
-256,-1022,103,1
-253,-1042,81,1
-261,-1030,81,1
-247,-1018,112,1
-245,-1021,120,1
-242,-1013,120,1
-256,-1018,83,1
-251,-1008,101,1
-242,-1018,88,1
-242,-1021,93,1
-250,-1011,91,1
-256,-1025,112,1
-256,-1025,107,1
-251,-1018,68,1
-247,-1013,63,1
-245,-1008,71,1
-250,-1073,91,1
-235,-1060,110,1
-232,-1027,58,1
-240,-1040,73,1
-237,-1037,76,1
-242,-1032,103,1
-247,-1021,110,1
-240,-1032,142,1
-235,-1037,140,1
-242,-1027,147,1
-222,-1022,130,1
-217,-1018,132,1
-225,-1008,96,1
-215,-1006,101,1
-230,-1018,93,1
-251,-1032,66,1
-253,-1030,61,1
-232,-1035,91,1
-225,-1035,86,1
-240,-1052,101,1
-230,-1040,96,1
-227,-1035,91,1
-227,-1025,96,1
-247,-1021,127,1
-256,-1018,105,1
-230,-1016,53,1
-230,-1013,73,1
-220,-1011,86,1
-210,-1006,98,1
-212,-1003,91,1
-210,-1016,41,1
-200,-1008,51,1
-210,-1025,51,1
-207,-1027,88,1
-207,-1018,78,1
-202,-1025,3,1
-207,-1011,11,1
-195,-1006,21,1
-222,-1032,38,1
-215,-1045,13,1
-235,-1016,83,1
-253,-1021,68,1
-258,-1018,68,1
-232,-1025,73,1
-227,-1021,76,1
-240,-1025,76,1
-230,-991,78,1
-227,-1006,76,1
-237,-1025,83,1
-225,-1011,81,1
-225,-1016,86,1
1872,1572,795,1
1867,1587,817,1
1877,1597,825,1
1862,1587,815,1
1835,1585,792,1
1830,1577,790,1
1862,1580,748,1
1857,1592,748,1
1855,1582,738,1
1852,1587,743,1
1862,1602,751,1
1840,1563,748,1
1857,1561,753,1
1835,1541,758,1
1845,1561,758,1
1850,1548,751,1
1880,1543,731,1
1875,1543,733,1
1890,1543,738,1
1891,1543,733,1
1898,1548,731,1
1890,1553,753,1
1875,1553,753,1
1870,1548,756,1
1891,1553,778,1
1885,1563,781,1
1875,1546,758,1
1867,1548,771,1
1882,1551,766,1
1898,1563,728,1
1901,1563,728,1
1903,1566,741,1
1860,1548,756,1
97,-880,-71,0
107,-872,-73,0
133,-862,-68,0
72,-872,-86,0
80,-867,-78,0
90,-875,-91,0
117,-852,-88,0
120,-862,-81,0
115,-860,-76,0
92,-867,-96,0
115,-865,-96,0
65,-862,-61,0
77,-870,-58,0
77,-875,-51,0
87,-870,-6,0
97,-867,-13,0
110,-862,-6,0
110,-857,-43,0
112,-857,-33,0
97,-867,-51,0
100,-860,-23,0
110,-865,-28,0
75,-906,-53,0
85,-916,-53,0
85,-901,-58,0
90,-903,-51,0
90,-887,-51,0
82,-898,-48,0
90,-872,-28,0
100,-887,-38,0
105,-867,-38,0
112,-870,-83,0
117,-887,-81,0
112,-875,-86,0
141,-845,-58,0
138,-841,-66,0
133,-828,-63,0
100,-847,-56,0
90,-855,-51,0
126,-843,-33,0
133,-831,-16,0
122,-836,-36,0
125,-870,-81,0
120,-870,-78,0
117,-862,-66,0
131,-847,-56,0
151,-852,-43,0
128,-855,-58,0
146,-865,-51,0
136,-872,-63,0
131,-891,-66,0
133,-880,-83,0
128,-896,-76,0
141,-860,-48,0
146,-857,-61,0
143,-862,-46,0
126,-855,-61,0
110,-870,-61,0
126,-850,-63,0
105,-865,-31,0
110,-847,-38,0
105,-860,-78,0
102,-862,-93,0
112,-857,-73,0
105,-855,-91,0
112,-852,-83,0
97,-862,-88,0
87,-860,-86,0
92,-857,-88,0
90,-855,-86,0
110,-852,-56,0
107,-860,-51,0
87,-855,-53,0
102,-843,-51,0
87,-845,-63,0
102,-867,-98,0
95,-852,-68,0
105,-850,-73,0
85,-877,-71,0
67,-875,-103,0
67,-875,-88,0
102,-843,-105,0
112,-841,-110,0
92,-847,-115,0
100,-887,-107,0
97,-880,-107,0
70,-887,-110,0
75,-872,-105,0
61,-865,-91,0
90,-875,-101,0
90,-867,-93,0
87,-887,-115,0
90,-860,-93,0
82,-850,-101,0
75,-857,-101,0
67,-877,-98,0
62,-872,-96,0
85,-870,-36,0
92,-870,-56,0
92,-860,-56,0
95,-857,-71,0
82,-852,-56,0
92,-860,-56,0
90,-870,-48,0
85,-865,-56,0
77,-867,-61,0
77,-852,-73,0
85,-865,-68,0
92,-855,-78,0
112,-870,-115,0
95,-860,-93,0
87,-850,-105,0
92,-850,-105,0
95,-852,-96,0
87,-857,-117,0
82,-860,-115,0
77,-847,-112,0
82,-847,-88,0
75,-857,-81,0
90,-852,-88,0
70,-845,-68,0
77,-857,-76,0
53,-875,-76,0
62,-847,-81,0
67,-838,-78,0
